"","plantid","shootmass","leafnum","stolonnum","nodulenum","MassofNodules","NodulesinTube","meannodulemass","totalnodulemass","Chlor","Harvester","Harvestdate","Harvestday","strain","nitrogen","field","plot","plantspori","plantpopori","plantsprear","plantpoprear","type"
"519",896,0.46,12,1,287,0.0068,110,6.18e-05,0.017741818,39.5,"MH","11-Feb",29,"155","Control","4","4A","T. pratense","Greece","T. pratense","Greece","treat"
"520",901,0.24,22,3,63,0.014,63,0.000222222,0.014,31.6,"TS","11-Feb",29,"717","Nitrogen","6","6B","T. pratense","Greece","T. repens","Idaho","treat"
"521",902,0.3,5,1,75,0.0229,75,0.000305333,0.0229,43.1,"JL","11-Feb",29,"478","Nitrogen","2","2B","T. repens","Chile","T. pratense","Pennsylvania","treat"
"522",903,0.65,24,4,217,0.0295,100,0.000295,0.064015,37.3,"JL","11-Feb",29,"209","Nitrogen","6","6B","T. hybridum","Greece","T. hybridum","Russia","treat"
"523",908,0.54,30,3,119,0.0307,119,0.000257983,0.0307,53.2,"MH","14-Feb",32,"499","Control","3","3A","T. pratense","Pennsylvania","T. repens","Idaho","treat"
"524",909,0.76,44,4,116,0.0206,116,0.000177586,0.0206,39.2,"DW","14-Feb",32,"726","Control","6","6A","T. hybridum","Russia","T. repens","Idaho","treat"
"525",915,0.5,9,1,88,0.0166,88,0.000188636,0.0166,36.6,"MH","14-Feb",32,"462","Control","5","5A","T. hybridum","Colorado","T. pratense","Greece","treat"
"526",916,0.59,28,3,303,0.0251,100,0.000251,0.076053,56.7,"TS","14-Feb",32,"16","Nitrogen","3","3B","T. hybridum","Greece","T. repens","Idaho","treat"
"527",920,0.21,10,1,0,NA,NA,NA,NA,25,"DW","13-Feb",31,"228","Control","1","1A","T. pratense","Greece","T. hybridum","Russia","treat"
"528",923,0.84,33,4,320,0.026,140,0.000185714,0.059428571,39.4,"MH","14-Feb",32,"156","Nitrogen","2","2B","T. hybridum","Colorado","T. hybridum","Colorado","treat"
"529",926,0.81,36,4,91,0.0359,91,0.000394505,0.0359,44.1,"DW","14-Feb",32,"460","Control","3","3A","T. repens","Chile","T. repens","Idaho","treat"
"530",927,0.67,12,1,158,0.0749,100,0.000749,0.118342,46.8,"TS","11-Feb",29,"773","Nitrogen","4","4B","T. pratense","Greece","T. pratense","Pennsylvania","treat"
"531",931,0.71,21,1,497,0.016,100,0.00016,0.07952,32.6,"AC","12-Feb",30,"527","Nitrogen","3","3B","T. pratense","Greece","T. hybridum","Russia","treat"
"532",938,0.73,26,3,245,0.0272,101,0.000269307,0.065980198,46.8,"DW","14-Feb",32,"116","Nitrogen","1","1B","T. pratense","Greece","T. pratense","Greece","treat"
"533",940,0.57,24,4,137,0.0322,100,0.000322,0.044114,42.3,"TS","11-Feb",29,"861","Control","5","5A","T. repens","Chile","T. hybridum","Russia","treat"
"534",941,0.75,29,3,267,0.0069,102,6.76e-05,0.018061765,44.9,"DW","14-Feb",32,"717","Nitrogen","6","6B","T. pratense","Greece","T. hybridum","Colorado","treat"
"535",943,1.03,18,2,232,0.0127,121,0.000104959,0.024350413,45,"DW","13-Feb",31,"499","Control","3","3A","T. pratense","Pennsylvania","T. pratense","Pennsylvania","treat"
"536",946,0.46,34,3,203,0.0047,101,4.65e-05,0.009446535,41.3,"DW","13-Feb",31,"228","Control","1","1A","T. pratense","Greece","T. hybridum","Colorado","treat"
"537",947,1.28,23,2,175,0.0098,100,9.8e-05,0.01715,53.5,"DW","13-Feb",31,"160","Control","5","5A","T. pratense","Pennsylvania","T. pratense","Pennsylvania","treat"
"538",948,0.87,43,4,138,0.0155,100,0.000155,0.02139,42,"DW","13-Feb",31,"145","Control","3","3A","T. pratense","Greece","T. repens","Idaho","treat"
"539",950,0.67,31,1,477,0.0103,105,9.81e-05,0.046791429,43.1,"DW","13-Feb",31,"308","Control","6","6A","T. pratense","Pennsylvania","T. hybridum","Russia","treat"
"540",954,0.84,44,5,50,0.0124,50,0.000248,0.0124,49.6,"DW","12-Feb",30,"3","Control","6","6A","T. repens","Idaho","T. repens","Idaho","treat"
"541",956,0.42,13,1,357,0.0208,108,0.000192593,0.068755556,28.5,"DW","12-Feb",30,"228","Control","1","1A","T. pratense","Greece","T. pratense","Greece","treat"
"542",957,0.97,34,3,132,0.0087,100,8.7e-05,0.011484,47.6,"DW","12-Feb",30,"729","Control","1","1A","T. hybridum","Colorado","T. repens","Idaho","treat"
"543",962,0.33,15,2,327,0.0153,104,0.000147115,0.048106731,42.3,"DW","12-Feb",30,"113","Control","6","6A","T. hybridum","Colorado","T. hybridum","Russia","treat"
"544",963,0.44,11,1,184,0.0177,103,0.000171845,0.031619417,39.4,"DW","12-Feb",30,"596","Nitrogen","1","1B","T. repens","Idaho","T. pratense","Pennsylvania","treat"
"545",964,0.52,16,1,310,0.0523,100,0.000523,0.16213,33.8,"AC","12-Feb",30,"438","Control","4","4A","T. hybridum","Russia","T. pratense","Greece","treat"
